year;month;day;hora;marginalPT;marginalES;
2018;01;31;22;60.37;60.37;
2018;01;31;23;59.25;59.25;
2018;01;31;24;58.78;58.78;
2018;02;01;1;60;60;
2018;02;01;2;57.79;57.79;
2018;02;01;3;55.31;55.31;
2018;02;01;4;50.96;50.96;
2018;02;01;5;47.07;47.07;
2018;02;01;6;46;46;
2018;02;01;7;54;54;
2018;02;01;8;59.37;59.37;
2018;02;01;9;60.77;60.77;
2018;02;01;10;60.61;60.61;
2018;02;01;11;60.17;60.17;
2018;02;01;12;59.25;59.25;
2018;02;01;13;57.3;57.3;
2018;02;01;14;55.04;55.04;
2018;02;01;15;46.88;46.88;
2018;02;01;16;44.99;44.99;
2018;02;01;17;44.68;44.68;
2018;02;01;18;46.32;46.32;
2018;02;01;19;53.81;53.81;
2018;02;01;20;58.19;58.19;
2018;02;01;21;59.37;59.37;
2018;02;01;22;58.87;58.87;
2018;02;01;23;55.1;55.1;
2018;02;01;24;52.14;52.14;
2018;02;02;1;44.9;44.9;
2018;02;02;2;41.6;41.6;
2018;02;02;3;40.55;40.55;
2018;02;02;4;39.5;39.5;
2018;02;02;5;39.25;39.25;
2018;02;02;6;39.5;39.5;
2018;02;02;7;41.73;41.73;
2018;02;02;8;54.23;54.23;
2018;02;02;9;58.29;58.29;
