year;month;day;hora;marginalPT;marginalES
2018;05;19;11;61.7;61.7
2018;05;19;12;61.42;61.42
2018;05;19;13;61.3;61.3
2018;05;19;14;61.3;61.3
2018;05;19;15;61.18;61.18
2018;05;19;16;59.63;59.63
2018;05;19;17;58.65;58.65
2018;05;19;18;58.47;58.47
2018;05;19;19;58.6;58.6
2018;05;19;20;59.56;59.56
2018;05;19;21;60.5;60.5
2018;05;19;22;61.98;61.98
2018;05;19;23;61.71;61.71
2018;05;19;24;61.6;61.6
2018;05;20;1;60.5;60.5
2018;05;20;2;60.14;60.14
2018;05;20;3;59.97;59.97
2018;05;20;4;59.63;59.63
2018;05;20;5;59.45;59.45
2018;05;20;6;59.21;59.21
2018;05;20;7;57.67;57.67
2018;05;20;8;54.98;54.98
2018;05;20;9;56.35;56.35
2018;05;20;10;59.21;59.21
2018;05;20;11;59.63;59.63
2018;05;20;12;59.97;59.97
2018;05;20;13;59.97;59.97
2018;05;20;14;60;60
2018;05;20;15;60;60
2018;05;20;16;59.21;59.21
2018;05;20;17;57.33;57.33
2018;05;20;18;56.04;56.04
2018;05;20;19;55.5;55.5
2018;05;20;20;57.63;57.63
2018;05;20;21;59.45;59.45
2018;05;20;22;62.98;62.98
2018;05;20;23;63.01;63.01
2018;05;20;24;62.07;62.07
2018;05;21;1;59.63;59.63
2018;05;21;2;59.63;59.63
2018;05;21;3;59.45;59.45
2018;05;21;4;59.45;59.45
2018;05;21;5;59.63;59.63
2018;05;21;6;60;60
2018;05;21;7;61.8;61.8
2018;05;21;8;62.25;62.25
2018;05;21;9;64.09;64.09
2018;05;21;10;65;65
2018;05;21;11;64.62;64.62
2018;05;21;12;64.61;64.61
2018;05;21;13;64.62;64.62
2018;05;21;14;64.39;64.39
2018;05;21;15;64.09;64.09
2018;05;21;16;63.26;63.26
2018;05;21;17;63;63
2018;05;21;18;62.8;62.8
2018;05;21;19;61.3;61.3
2018;05;21;20;62.3;62.3
2018;05;21;21;64.01;64.01
2018;05;21;22;66;66
2018;05;21;23;65;65
2018;05;21;24;63.5;63.5
2018;05;22;1;65.1;65.1
2018;05;22;2;65;65
2018;05;22;3;64.62;64.62
2018;05;22;4;64.2;64.2
2018;05;22;5;64.01;64.01
2018;05;22;6;64.3;64.3
2018;05;22;7;64.62;64.62
2018;05;22;8;63.56;63.56
2018;05;22;9;63.36;63.36
2018;05;22;10;64.01;64.01
2018;05;22;11;63;63
2018;05;22;12;62.47;62.47
2018;05;22;13;62.69;62.69
2018;05;22;14;63.16;63.16
2018;05;22;15;62.7;62.7
2018;05;22;16;62.47;62.47
2018;05;22;17;62.47;62.47
2018;05;22;18;62.47;62.47
2018;05;22;19;62.26;62.26
2018;05;22;20;62.47;62.47
2018;05;22;21;63.16;63.16
2018;05;22;22;64.69;64.69
2018;05;22;23;63.56;63.56
2018;05;22;24;62.29;62.29
2018;05;23;1;64.21;64.21
2018;05;23;2;64.22;64.22
2018;05;23;3;63.69;63.69
2018;05;23;4;63.5;63.5
2018;05;23;5;63.79;63.79
2018;05;23;6;64.22;64.22
2018;05;23;7;65;65
2018;05;23;8;64.64;64.64
2018;05;23;9;65.99;65.99
2018;05;23;10;66.01;66.01
2018;05;23;11;65.88;65.88
2018;05;23;12;65.59;65.59
2018;05;23;13;65.89;65.89
2018;05;23;14;65.88;65.88
2018;05;23;15;64.89;64.89
2018;05;23;16;64.49;64.49
2018;05;23;17;64.79;64.79
2018;05;23;18;64.49;64.49
2018;05;23;19;64.22;64.22
2018;05;23;20;64.63;64.63
2018;05;23;21;65.03;65.03
2018;05;23;22;66.64;66.64
2018;05;23;23;65.1;65.1
2018;05;23;24;65;65
2018;05;24;1;66.45;66.45
2018;05;24;2;65.96;65.96
2018;05;24;3;64.97;64.97
2018;05;24;4;64.64;64.64
2018;05;24;5;64.63;64.63
2018;05;24;6;64.65;64.65
2018;05;24;7;65;65
2018;05;24;8;64.97;64.97
2018;05;24;9;65.01;65.01
2018;05;24;10;65.96;65.96
2018;05;24;11;65;65
2018;05;24;12;64.65;64.65
2018;05;24;13;64.63;64.63
2018;05;24;14;64.52;64.52
2018;05;24;15;63.47;63.47
2018;05;24;16;62.03;62.03
2018;05;24;17;60.34;60.34
2018;05;24;18;60.68;60.68
2018;05;24;19;61.36;61.36
2018;05;24;20;63.34;63.34
2018;05;24;21;64.45;64.45
2018;05;24;22;64.99;64.99
2018;05;24;23;64.45;64.45
2018;05;24;24;64.01;64.01
2018;05;25;1;64.63;64.63
2018;05;25;2;64.49;64.49
2018;05;25;3;63.49;63.49
2018;05;25;4;63.47;63.47
2018;05;25;5;63.47;63.47
2018;05;25;6;64.21;64.21
2018;05;25;7;64.84;64.84
2018;05;25;8;64.79;64.79
2018;05;25;9;65.88;65.88
2018;05;25;10;66.71;66.71
2018;05;25;11;66.7;66.7
2018;05;25;12;65.96;65.96
2018;05;25;13;65.52;65.52
2018;05;25;14;65;65
2018;05;25;15;64.45;64.45
2018;05;25;16;63.43;63.43
2018;05;25;17;62.95;62.95
2018;05;25;18;62.03;62.03
2018;05;25;19;63.43;63.43
2018;05;25;20;64.49;64.49
2018;05;25;21;64.99;64.99
2018;05;25;22;67.05;67.05
2018;05;25;23;66.1;66.1
2018;05;25;24;65.66;65.66
2018;05;26;1;64.97;64.97
2018;05;26;2;63.65;63.65
2018;05;26;3;60.9;60.9
2018;05;26;4;60.9;60.9
2018;05;26;5;60.59;60.59
2018;05;26;6;60.6;60.6
2018;05;26;7;59.41;59.41
2018;05;26;8;57.99;57.99
2018;05;26;9;61.88;61.88
2018;05;26;10;64.16;64.16
2018;05;26;11;64.5;64.5
2018;05;26;12;64.45;64.45
2018;05;26;13;63.99;63.99
2018;05;26;14;63.47;63.47
2018;05;26;15;60.71;60.71
2018;05;26;16;55;55
2018;05;26;17;51.2;51.2
2018;05;26;18;51.2;51.2
2018;05;26;19;53.08;53.08
2018;05;26;20;60.99;60.99
2018;05;26;21;64.45;64.45
2018;05;26;22;66.26;66.26
2018;05;26;23;66.29;66.29
2018;05;26;24;66.1;66.1
2018;05;27;1;64.97;64.97
2018;05;27;2;64.45;64.45
2018;05;27;3;63.47;63.47
2018;05;27;4;63.19;63.19
2018;05;27;5;61.85;61.85
2018;05;27;6;60;60
2018;05;27;7;59;59
2018;05;27;8;55.43;55.43
2018;05;27;9;59.43;59.43
2018;05;27;10;62.21;62.21
2018;05;27;11;63.47;63.47
2018;05;27;12;64.21;64.21
2018;05;27;13;64.45;64.45
2018;05;27;14;64.45;64.45
2018;05;27;15;63.43;63.43
2018;05;27;16;58;58
2018;05;27;17;52;52
2018;05;27;18;51.15;51.15
2018;05;27;19;50.22;50.22
2018;05;27;20;51.17;51.17
2018;05;27;21;55.43;55.43
2018;05;27;22;64.21;64.21
2018;05;27;23;64.45;64.45
2018;05;27;24;61.85;61.85
2018;05;28;1;62;62
2018;05;28;2;59.01;59.01
2018;05;28;3;51.17;51.17
2018;05;28;4;50.22;50.22
2018;05;28;5;50.22;50.22
